period,net,gross,benchmark
2006-10-31,1.0,1.0,1.016207917322431
2006-11-30,1.0,1.0,1.029130237025959
2006-12-31,1.0,1.0,1.041633941357979
2007-01-31,1.0,1.0,1.0188512744771816
2007-02-28,1.0,1.0,1.0289538786598365
2007-03-31,1.0,1.0,1.070183658791655
2007-04-30,1.0,1.0,1.1015167496805154
2007-05-31,1.0,1.0,1.0821362805077008
2007-06-30,1.0,1.0,1.0495391548647581
2007-07-31,1.0,1.0,1.0626681882955167
2007-08-31,1.0,1.0,1.1007152301037184
2007-09-30,1.0,1.0,1.1151770612399343
2007-10-31,0.9576979641375999,0.9598383564921424,1.0680406325470748
2007-11-30,0.9478318547701494,0.9505569902345288,1.0572055811143506
2007-12-31,0.8821086137520112,0.8852216934556932,0.9919436261615039
2008-01-31,0.8740474693676084,0.8776492186837702,0.9570971358297796
2008-02-29,0.8689022693919183,0.8729907073092159,0.9438659196600543
2008-03-31,0.8976538409769003,0.9022008633840702,0.9882172373149962
2008-04-30,0.9083946053156238,0.9133215449388395,0.995548107262407
2008-05-31,0.8898649199511818,0.8950125343187371,0.9100054005595924
2008-06-30,0.876725803560964,0.8822408636236447,0.9009553377588824
2008-07-31,0.877102500990695,0.8830806377734599,0.9121488865319972
2008-08-31,0.8262691036655335,0.8323110497891874,0.831889179543012
2008-09-30,0.7587875119770151,0.7646872030594347,0.6911021128394697
2008-10-31,0.734094080251879,0.7402554617706799,0.6384957518835424
2008-11-30,0.7340385788932662,0.7405359263797079,0.6438958158260543
2008-12-31,0.729866476493548,0.7364432354821971,0.5900137972307034
2009-01-31,0.7250245419081569,0.7316849923103537,0.5249759839824598
2009-02-28,0.7283776549581624,0.7351842032558188,0.5689754290690933
2009-03-31,0.7282543339466565,0.7351375210553365,0.6225904532561253
2009-04-30,0.7287301958828393,0.7356596392185732,0.6556257066989615
2009-05-31,0.7299947607954038,0.7370164666056479,0.6557786573766101
2009-06-30,0.7365918962332674,0.7438717496929242,0.7049746893385576
2009-07-31,0.7381642559688109,0.7456948489281495,0.7278225550566415
2009-08-31,0.7444130161343074,0.7521703594167329,0.7529241806024078
2009-09-30,0.7311027211713755,0.7393201766714221,0.7382869698349253
2009-10-31,0.7828095127962047,0.7932184339443713,0.7804097098057406
2009-11-30,0.840975308021466,0.8528254889568296,0.794285735682789
2009-12-31,0.797361365627154,0.8093007516577053,0.7649276670071999
2010-01-31,0.829050903703472,0.8423992752527558,0.7865420108144159
2010-02-28,0.8859667845169118,0.9004279091715938,0.8327579896951426
2010-03-31,0.9048894071248671,0.9200531091095312,0.8450093369661043
2010-04-30,0.8118348514736125,0.8263949437406624,0.7757302771265262
2010-05-31,0.7829425509072339,0.7982579245102694,0.7345887887356549
2010-06-30,0.8229294949484334,0.8394067049215683,0.7842424438050759
2010-07-31,0.8058117547030246,0.8224741156331357,0.7470907364582073
2010-08-31,0.8447409834365027,0.8624558687559137,0.8125526934822586
2010-09-30,0.8575526531389299,0.8758061430616806,0.8422704949101996
2010-10-31,0.8604319152089966,0.8791142869581501,0.8403538523892579
2010-11-30,0.9018749945168405,0.9217846045916197,0.8950741388420009
2010-12-31,0.9106701434850626,0.9310842451599369,0.915315885926802
2011-01-31,0.9450914837080856,0.9667214314708907,0.9445335911564817
2011-02-28,0.9511503791784696,0.9732166098878438,0.9433365813169956
2011-03-31,0.9803534751967593,1.003440933020699,0.9702536464802293
2011-04-30,0.973099081397041,0.9964832636756598,0.9581331300942828
2011-05-31,0.9487980744117819,0.9721422604575901,0.9407774520388236
2011-06-30,0.902269731896907,0.9247278633529114,0.9191635526424599
2011-07-31,0.8365851561391868,0.8577560957872371,0.866892547663423
2011-08-31,0.7626496223651894,0.7823212557874247,0.8049518404092029
2011-09-30,0.822347508640699,0.8441349120392283,0.8912702770479515
2011-10-31,0.8213820750369043,0.843893695346871,0.8868048351093643
2011-11-30,0.8217964790193333,0.8445671790614907,0.8944587597269525
2011-12-31,0.8311774880113583,0.8546220876006326,0.9329173750891996
2012-01-31,0.8410041226140622,0.8649798017127758,0.9708038463093979
2012-02-29,0.8537614734462257,0.8783804031544484,1.0011539480082512
2012-03-31,0.8558322650652418,0.8808337685604212,0.9934111302889037
2012-04-30,0.8288607126771785,0.8534254192523365,0.9297307237925828
2012-05-31,0.8445845510705229,0.8699760163005028,0.9666571798778218
2012-06-30,0.8518650202618614,0.8778593217651244,0.9835026235871188
2012-07-31,0.8647285365931325,0.8917427544535305,1.0029096193199822
2012-08-31,0.8841480880528916,0.9124550915420168,1.0272129275589137
2012-09-30,0.8701680013851398,0.8987761801623275,1.005594294059294
2012-10-31,0.884630877940484,0.9143699866004047,1.008192859764553
2012-11-30,0.9027729559755281,0.9336233049371915,1.0132604202531323
2012-12-31,0.9824228442494827,1.0165519965099072,1.0595836286058988
2013-01-31,1.0032853294873973,1.0387295361487245,1.0713283197960808
2013-02-28,1.0661775667288302,1.1044597054946297,1.109967433136592
2013-03-31,1.087548299469719,1.1272610163028163,1.1301790682920234
2013-04-30,1.1272992897893943,1.168985849841972,1.1534359380292283
2013-05-31,1.1041867451837237,1.14572831200471,1.1360612640278194
2013-06-30,1.2085472129792856,1.2544770262603904,1.1918798283360659
2013-07-31,1.1609730844402835,1.206170913733689,1.1546039984154826
2013-08-31,1.2024281694299401,1.2500859888318985,1.188229849790342
2013-09-30,1.2495608972190408,1.2993487769772234,1.241195465809811
2013-10-31,1.282527207927954,1.334067285867572,1.275801526149782
2013-11-30,1.3378533316450023,1.3931180776410055,1.30580857423438
2013-12-31,1.2665145063824308,1.3194333176073032,1.2597142643450867
2014-01-31,1.350194407028073,1.407820310163491,1.3134447013543702
2014-02-28,1.3551235450960684,1.4138385907388316,1.3194707700230632
2014-03-31,1.3489457609614748,1.4080666282165535,1.3157516580414577
2014-04-30,1.3925132871809205,1.4547255782009283,1.341955552852744
2014-05-31,1.4496553732024025,1.5157388984806348,1.3681532449164322
2014-06-30,1.3799869155266062,1.4434485549620089,1.3476267677852987
2014-07-31,1.4558516647658533,1.523938077061724,1.3972541911120437
2014-08-31,1.4095685420458046,1.476199696364402,1.375246724333242
2014-09-30,1.4599830956889093,1.5294684768382818,1.4059704618031372
2014-10-31,1.4968465465013192,1.5687870871532392,1.4374209682691685
2014-11-30,1.4993182821507471,1.5725254783909715,1.4306061748418546
2014-12-31,1.4620354812844927,1.5346725251386508,1.3860260715574952
2015-01-31,1.5727905975444398,1.6517908190905388,1.4619800916975285
2015-02-28,1.5624062098768186,1.6424059795790176,1.4366051695488242
2015-03-31,1.5413479662358733,1.6213655904048137,1.4487695851819622
2015-04-30,1.5751270177532704,1.6575503527283568,1.4639660431278811
2015-05-31,1.5324018538443427,1.613591943052461,1.4332325603995728
2015-06-30,1.5776433969130403,1.6618342990008792,1.455041959781815
2015-07-31,1.4616279609133263,1.5406537690477102,1.363805908870744
2015-08-31,1.438905375875214,1.5179459633207824,1.3279129323316754
2015-09-30,1.5194090200837962,1.6034712497436876,1.4381433060848
2015-10-31,1.521084259467084,1.6064079370802449,1.436410798735928
2015-11-30,1.5051979318846425,1.591071623558676,1.4113158950556266
2015-12-31,1.42311923874901,1.5049784506172073,1.33942998274364
2016-01-31,1.420856427505145,1.503365500270715,1.3338940636621721
2016-02-29,1.465802918662433,1.5523858651533278,1.4212574152029187
2016-03-31,1.4547225652963025,1.5414075992922267,1.424210110888688
2016-04-30,1.4797866604422334,1.5690360448797136,1.4456940878244522
2016-05-31,1.5104592540847774,1.6023746804750425,1.4468704867395832
2016-06-30,1.5506152966836482,1.6458370997165062,1.4971775872159587
2016-07-31,1.5250279180699058,1.6194905805703643,1.49536281311458
2016-08-31,1.5221912961855315,1.6176225617431261,1.493545319486861
2016-09-30,1.4704269305024957,1.5635346395098668,1.465843290799228
2016-10-31,1.5293809382156214,1.6271278820873423,1.511805257100789
2016-11-30,1.543632786311985,1.6435815004035916,1.5392382780686555
2016-12-31,1.7031309837576356,1.8150489764866993,1.6868128043335588
2017-07-31,1.6811671214582995,1.7934850659970463,1.6871920201751982
2017-08-31,1.7348171761183016,1.8524539128747068,1.718833916839116
2017-09-30,1.774632669533938,1.8957828776412913,1.7570202007393658
2017-10-31,1.8619238599444439,1.9906819768084896,1.8065682576734898
2017-11-30,1.8815596350646764,2.0123984797970635,1.8244378581018028
2017-12-31,2.0121682731215365,2.152907306008163,1.9269492259195735
2018-01-31,1.8995402795975305,2.0331723498023115,1.8516704139083804
2018-02-28,1.8693992850839751,2.0029555704088424,1.7991230965642138
2018-03-31,1.863297025973926,1.9970625968560656,1.8040088773140164
2018-04-30,1.8993111680871346,2.0377282787667785,1.84254553900443
2018-05-31,1.9022631871268982,2.04198951621699,1.8505466366353254
2018-06-30,1.9957341559538933,2.1432086228778084,1.9172094792522365
2018-07-31,2.0548454461861727,2.2087776072478955,1.9753045552546973
2018-08-31,2.0610396571764253,2.216657621543008,1.9836242055225375
2018-09-30,1.86220467745461,2.004112206243955,1.8455030343638765
2018-10-31,1.8979004276571017,2.044966349622506,1.877955678268053
2018-11-30,1.800858468960014,1.941661326164081,1.7058716084241718
