,plain XS (equal),trend XS (equal),trend XS (signal)
CAGR,0.058063313862808386,0.05200060180875332,0.0498351591115378
Ann.Return,0.06758737459328101,0.06308476574537845,0.061389533924836474
Ann.Vol,0.1476025236738201,0.15632244280990534,0.15880298760713465
Sharpe,0.4579012127369799,0.4035553987733686,0.3865766938636511
Sortino,0.593627624046313,0.5413511321924801,0.5317946974995298
Calmar,0.12260066539617516,0.11407723845108762,0.11012079232658904
MaxDrawdown,-0.4735970532882591,-0.4558367866789603,-0.45254995045567725
WinRate,0.5782608695652174,0.5391304347826087,0.5391304347826087
ProfitFactor,1.4198898568454175,1.3661572978855656,1.3466475579098993
AvgWin,0.03293667836956877,0.036381651670016744,0.03686252192373436
AvgLoss,-0.036295924040565815,-0.03512978862016655,-0.036109787074294644
Skewness,-0.6268211965960657,-0.37492962450952005,-0.3179585091077508
Kurtosis,1.3933230063451454,1.3396933959250612,1.1177457681504164
Months,230.0,230.0,230.0
AvgLeverage,0.8915986710596757,0.8802142885881274,0.8723417754089656
AnnTurnover,2.9427897314756466,4.018327243202658,3.902640775514149
AnnTCost,0.010754885715023442,0.015178358792310479,0.014723224074348371
